,Subject ,Items,Quantity,Comments
0,RECOMMENDED STATIONERY - STANDARD PACK,PEN MEDIUM POINT BLUE,1,
1,RECOMMENDED STATIONERY - STANDARD PACK,PENCIL STANDARD HB,1,
2,RECOMMENDED STATIONERY - STANDARD PACK,RULER PLASTIC 30CM,1,
3,RECOMMENDED STATIONERY - STANDARD PACK,BINDER A4 3D 25MM,2,
4,RECOMMENDED STATIONERY - STANDARD PACK,WRITING PAD A4 8MM RULED 50 PAGE PUNCHED 7 HOLES,2,
5,RECOMMENDED STATIONERY - STANDARD PACK,GLUE STICK SCHOOL 40G,1,
6,RECOMMENDED STATIONERY - STANDARD PACK,USB THUMBDRIVE EDUDRIVE 8GB OR EXTERNAL HARD DRIVE ,1,
7,VISUAL ARTS,ERASER PENCIL LARGE VINYL 7085-20,1,
8,VISUAL ARTS,PENCIL 2B,1,
9,VISUAL ARTS,PEN ARTLINE 200 0.4MM BLACK,1,
10,VISUAL ARTS,VISUAL DIARY A4 60 LEAF 110GSM,1,
11,DESIGN & TECHNOLOGY,DOCUMENT WALLET,1,
12,DESIGN & TECHNOLOGY,EXERCISE BK A4 96PAGE,1,
13,MUSIC,MUSIC BK A4 48 PAGE FEINT & STAVE,1,
14,MUSIC,DISPLAY BK A4 20 INSERTS,1,
15,DRAMA,DISPLAY BK A4 20 INSERTS,1,
16,ENGLISH,DISPLAY BK A4 20 INSERTS KWIK ZIP REFILLABLE+DIVIDERS BLACK,1,
17,English as an Additional Language (EAL),TEXT TYPES A WRITING GUIDE FOR STUDENTS [TOWNSEND],1,
18,English as an Additional Language (EAL),EXERCISE BK A4 96 PAGE 8MM,1,
19,English as an Additional Language (EAL),EXERCISE BK A4 96 PAGE 8MM,1,
20,English as an Additional Language (EAL),WRITING PAD A4 8MM RULED 100 PAGE PUNCHED 7 HOLES,1,
21,CHINESE,EXERCISE BK A4 96 PAGE 8MM,1,
22,CHINESE,DOCUMENT WALLET CARDBOARD ASSORTED,1,
23,CHINESE,GRAPH BK A4 48 PAGE 10MM GRID,2,
24,FRENCH,COLLINS POCKET FRENCH DICTIONARY 2ND edition.,1,
25,FRENCH,EXERCISE BK A4 SPIRAX 96 PAGE 8MM,1,
26,FRENCH,DOCUMENT WALLET CARDBOARD ASSORTED,1,
27,JAPANESE,EXERCISE BK A4 96 PAGE 8MM,1,
28,JAPANESE,DOCUMENT WALLET CARDBOARD ASSORTED,1,
29,JAPANESE,GRAPH BK A4 48 PAGE 10MM GRID,1,
30,MATHEMATICS - Essential Requirements for Year 8,GRAPH PAD A4 50 LEAF 5MM GRID [R30091],1,
31,MATHEMATICS - Essential Requirements for Year 8,GRAPH BK A4 96 PAGE 5MM GRID,1,
32,MATHEMATICS - Essential Requirements for Year 8,GEOLINER GRIP HANDLE MAPED 16CM,1,
33,MATHEMATICS - Essential Requirements for Year 8,COMPASS CELCO CO5 METAL,1,
34,MATHEMATICS - Essential Requirements for Year 8,SCIENTIFIC CALCULATOR (CASIO PREFERRED),1,
35,SCIENCE,EXERCISE BK A4 96 PAGE 8MM,1,
36,HUMANITIES,3 RING FOLDER,1,
37,PHYSICAL EDUCATION,EXERCISE BK A4 96 PAGE 8MM,1,
