,Subject,Items,Quantity,Comments
0,ENGLISH Home Language,Exam Pad (A4),1.0,
1,ENGLISH Home Language,Hard cover book 96 page(A4),1.0,
2,ENGLISH Home Language,Dictionary,1.0,
3,ENGLISH Home Language,Flip file 20 Pages,2.0,
4,ENGLISH Home Language,Workbook,1.0,– to be purchased from Class Teacher in Term 1
5,AFRIKAANS Home Language,hard cover book 192 page(A4),1.0,
6,AFRIKAANS Home Language,flip file 30 page,1.0,
7,AFRIKAANS Home Language,College Exercise 72 page (A4),1.0,
8,AFRIKAANS 1 st Additional Language,Beryl Lutrin Afrikaans Study Guide,1.0,
9,AFRIKAANS 1 st Additional Language,Hard cover book 192 page (A4),1.0,
10,AFRIKAANS 1 st Additional Language,College Exercise book 72 page (A4),1.0,
11,AFRIKAANS 1 st Additional Language,Metamorfose,1.0,(Rs150 (cash only) – to be paid to Afr teacher).
12,AFRIKAANS 1 st Additional Language,Flip file 30 page,1.0,
13,AFRIKAANS 1 st Additional Language,Dictionary (Afr/Eng),,
14,XHOSA 1 st Additional Language,Hard cover book 288 page (A4),1.0,
15,XHOSA 1 st Additional Language,Soft cover book 72 page (A4),1.0,
16,XHOSA 1 st Additional Language,Flip file 30 page,1.0,
17,MATHEMATICS,Hard cover exercise books (A4),2.0,
18,MATHEMATICS,CASIO fx-82ZA Scientific Calculator (or fx-991ES PLUS),1.0,
19,MATHEMATICS,Mind Action Series Grade 12 Geometry Workbook,1.0,available from Pickwick Books
20,MATHEMATICS,Flip file or plastic envelope 20 page,1.0,
21,MATHS LITERACY,hard cover book 192 page (A4),1.0,
22,MATHS LITERACY,Scientific Calculator (CASIO FX82 ZA PLUS,1.0,OnlyTHIS model please
23,MATHS LITERACY,Protractor,1.0,
24,LIFE ORIENTATION,Ring binder file,1.0,
25,PHYSICAL SCIENCES,exam pad 100 page (A4),1.0,
26,PHYSICAL SCIENCES,flip file 20 page,1.0,
27,PHYSICAL SCIENCES,hard cover 20 page,1.0,
28,LIFE SCIENCES,flip file 20 page,1.0,
29,LIFE SCIENCES,Life Sciences textbook/workbook,1.0,to be purchased from LS teacher
30,ACCOUNTING,Workbook (New Era),1.0,
31,ACCOUNTING,Flip file for CASS 20 page,1.0,
32,BUSINESS STUDIES,Hard cover book 128 page  (A4),1.0,
33,HISTORY,Hard cover book 192 page (A4),1.0,
34,HISTORY,File file 20 page,2.0,
35,GEOGRAPHY,Hard cover book 192 page (A4),1.0,
36,GEOGRAPHY,Flip file 30 page,2.0,
37,ENGINEERING GRAPHICS & DESIGN,2H Pencil,2.0,
38,ENGINEERING GRAPHICS & DESIGN,Soft eraser,1.0,
39,ENGINEERING GRAPHICS & DESIGN,Brown Envelope (A4),2.0,
40,ENGINEERING GRAPHICS & DESIGN,Hard cover book 96 page (A4),1.0,
41,ENGINEERING GRAPHICS & DESIGN,Flip file 30 page,1.0,
42,MUSIC,Flip file 50 page,2.0,
43,MUSIC,Plastic folder with fastener,1.0,Croxley DOC 6229
44,VISUAL ART,File for notes,1.0,
45,VISUAL ART,Workbook - Spiral bound vertical format,1.0,"– black cover, A3 – available at City Stationers)"
46,INFORMATION TECHNOLOGY,Ring binder file,1.0,
47,INFORMATION TECHNOLOGY,Exam pad (A4),1.0,
48,INFORMATION TECHNOLOGY,USB Flash Drive (at least 4GB),1.0,
49,COMPUTER APPLICATION TECH,,,Keep book from previous grade
