,Subject,Items,Quantity,Comments
0,ENGLISH (Home Language),Exam Pad  (A4),1,
1,ENGLISH (Home Language),hard cover book 96 page (A4),1,
2,ENGLISH (Home Language),Dictionary,1,
3,ENGLISH (Home Language),Flip file 20 page ,2,
4,ENGLISH (Home Language),Workbook,1,to be purchased from Class Teacher in Term 1
5,AFRIKAANS (Home Language),hard cover book 192 page (A4),1,
6,AFRIKAANS (Home Language),Flip file 30 page (A4),1,
7,AFRIKAANS (Home Language),College exercise book 72 page (A4),1,
8,AFRIKAANS 1 st Additional Language,Beryl Lutrin Afrikaans Study Guide,1,
9,AFRIKAANS 1 st Additional Language,Hard cover book 96 page (A4),1,
10,AFRIKAANS 1 st Additional Language,Dictionary  (Afr/Eng),1,
11,AFRIKAANS 1 st Additional Language,72 page college exercise book,1,
12,AFRIKAANS 1 st Additional Language,Funksionele Taalgebruik Gr 9 (Marie Jooste),1, PickWick Books
13,XHOSA 1 st Additional Language,Hard cover book 288 page (A4),1,
14,XHOSA 1 st Additional Language,Soft cover book 72 page (A4),1,
15,XHOSA 1 st Additional Language,Flip file 30 Pages,1,
16,XHOSA 3 rd Language,Hard cover book 96 page (A4),1,
17,XHOSA 3 rd Language,Soft cover book 72 page (A5),1,
18,MATHEMATICS,Grade 9 Premier Mathematics Learners Book,1,available from Pickwick Books
19,MATHEMATICS,Hard cover exercise book 288 page (A4),1,
20,MATHEMATICS,CASIO fx-82ZA PLUS Scientific Calculator,1,
21,MATHEMATICS,Geometry set,1,
22,MATHEMATICS,Flip file or plastic envelope,1,
23,MATHEMATICS,Mind Action Series Grade 10 (Revised New Edition),1,available from Pickwick Books
24,LIFE ORIENTATION,Ring binder file / Flip file,1,
25,NATURAL SCIENCES,cover book 96 page hard (A4),1,
26,NATURAL SCIENCES,Flip file 30 page ,1,
27,NATURAL SCIENCES,Natural Sciences Workbook – Doc Scientia -,1,available from PickWick Books
28,HISTORY,Hard cover book 192 page hard (A4),1,
29,HISTORY,file file 20 page,2,
30,GEOGRAPHY,Hard cover book 96 page (A4),1,
31,GEOGRAPHY,flip file 30 page,1,
32,GEOGRAPHY,Protractor & Mathematics set,1,
33,ENGINEERING DRAWING,Brown Envelope (A4),2,
34,MUSIC,Flip file  30 page,1,
35,EMS,flip file 20 page,1,
36,EMS,Workbook,1,Accobility Grade 9 (Yellow book)
37,CREATIVE (ARTS Art / Drama / Music),Sheets White cardboard,10,
38,CREATIVE (ARTS Art / Drama / Music),Sheets Any Colour cardboard,10,
39,CREATIVE (ARTS Art / Drama / Music),Flat artist paintbrush (size 5 or 6),1,
40,CREATIVE (ARTS Art / Drama / Music),Tube student acrylic paint,1,(any colour)
41,CREATIVE (ARTS Art / Drama / Music),Black fine liner,1,
42,VISUAL ARTS,Black hard cover creative journal,1,
43,VISUAL ARTS,"Putty eraser, sharpener, pencils (2H, HB, B, B2W, B4, B6)",1,
44,VISUAL ARTS,Black ball point pen,1,
45,VISUAL ARTS,Colleens,1,
46,VISUAL ARTS,Eraser,1,
