,Subject,Items,Quantity,Comments
0,ENGLISH (Home Language),Exam Pad (A4),1.0,
1,ENGLISH (Home Language),hard cover book 96 page (A4),1.0,
2,ENGLISH (Home Language),Dictionary,1.0,
3,ENGLISH (Home Language),Flip file 20 page ,2.0,
4,ENGLISH (Home Language),Workbook,1.0,to be purchased from Class Teacher in Term 1
5,AFRIKAANS (Home Language),Hard cover book 192 page (A4),1.0,
6,AFRIKAANS (Home Language),Flip file 30 page (A4),1.0,
7,AFRIKAANS (Home Language),College exercise book 72 page (A4),1.0,
8,AFRIKAANS 1 st Additional Language,Beryl Lutrin Afrikaans Study Guide,1.0,
9,AFRIKAANS 1 st Additional Language,Hard cover book 96 page (A4),1.0,
10,AFRIKAANS 1 st Additional Language,Dictionary  (Afr/Eng),1.0,
11,AFRIKAANS 1 st Additional Language,72 page college exercise book,1.0,
12,AFRIKAANS 1 st Additional Language,Flip file 30 Pages,1.0,
13,AFRIKAANS 1 st Additional Language,College Exercise Book 72 page (A4),1.0,
14,XHOSA 1 st Additional Language,Hard cover book 288 page (A4),1.0,
15,XHOSA 1 st Additional Language,Soft cover book 72 page (A4),1.0,
16,XHOSA 1 st Additional Language,Flip file 30 Pages,1.0,
17,MATHEMATICS,Hard cover exercise book 192 page (A4),2.0,
18,MATHEMATICS,CASIO fx-82ZA PLUS Scientific Calculator,1.0,
19,MATHEMATICS,Mind Action Series Grade 11 Geometry Workbook,1.0,available from Pickwick Books
20,MATHEMATICS,Flip file or plastic envelope 20 page (A4),1.0,
21,MATHEMATICS,Mind Action Series Grade 12 textbook,1.0,available from Pickwick Books
22,MATHEMATICS,Mind Action Series Grade 12 Geometry workbook,1.0,available from Pickwick Books
23,MATHS LITERACY,Hard cover book 192 page (A4),1.0,
24,MATHS LITERACY,Scientific Calculator (CASIO FX82 ZA PLUS),1.0,OnlyTHIS model please
25,MATHS LITERACY,Protractor,1.0,
26,LIFE ORIENTATION,Ring binder file / Flip file,1.0,
27,PHYSICAL SCIENCES,Exam pad 100 page hard (A4),1.0,
28,PHYSICAL SCIENCES,Flip file 20 page ,1.0,
29,PHYSICAL SCIENCES,Hard cover 288 Page,1.0,
30,LIFE SCIENCES,Flip file 20 page ,1.0,
31,LIFE SCIENCES,Life Sciences textbook/workbook,1.0,to be purchased from LS teacher
32,ACCOUNTING,Workbook (New Era),1.0,can be purchased from Pickwick books or other
33,ACCOUNTING,Flip file for CASS 20 pages,1.0,
34,BUSINESS STUDIES,Hard cover book 128 Pages,1.0,
35,HISTORY,Hard cover book 192 page (A4),1.0,
36,HISTORY,File file 20 page,2.0,
37,GEOGRAPHY,Hard cover book 192 page (A4),1.0,
38,GEOGRAPHY,flip file 30 page,1.0,
39,GEOGRAPHY,Protractor & Mathematics set,1.0,
40,ENGINEERING GRAPHICS & DESIGN,2H Pencil,2.0,
41,ENGINEERING GRAPHICS & DESIGN,Soft eraser,1.0,
42,ENGINEERING GRAPHICS & DESIGN,Brown Envelope (A4),2.0,
43,ENGINEERING GRAPHICS & DESIGN,hard cover book 96 page (A4),1.0,
44,ENGINEERING GRAPHICS & DESIGN,Flip file 30 page,1.0,
45,MUSIC,plastic folder with fastener,1.0,Croxley DOC 6229
46,MUSIC,Flip file 50 page,2.0,
47,VISUAL ART,file for notes,1.0,
48,VISUAL ART,Source book (vertical format ),1.0,available at City Stationers/Arty Crafts)
49,VISUAL ART,flip file (A4),1.0,
50,VISUAL ART,black fine liner (standard),1.0,
51,VISUAL ART,"black fine liner (0,05)",1.0,
52,VISUAL ART,Dala black ink,1.0,
53,VISUAL ART,Dala sepia ink,1.0,
54,VISUAL ARTS,Good quality brushes  (2 x small; 1 x medium; 1 x large),1.0,
55,VISUAL ARTS,"Pencils  (HB, B, B2, B4, B6)",1.0,
56,VISUAL ARTS,"Colour pencils, charcoal, soft erasers, putty, sharpener",1.0,
57,INFORMATION TECHNOLOGY,Ring binder file,1.0,
58,INFORMATION TECHNOLOGY,Exam pad (A4),1.0,
59,INFORMATION TECHNOLOGY,USB Flash Drive (at least 4GB),1.0,
60,COMPUTER APPLICATION TECH,,,Keep book from previous grade
