,Subject ,Items,Quantity,Comments
0,RECOMMENDED STATIONERY - STANDARD PACK,PEN MEDIUM POINT BLUE,1.0,
1,RECOMMENDED STATIONERY - STANDARD PACK,PENCIL STANDARD HB,1.0,
2,RECOMMENDED STATIONERY - STANDARD PACK,RULER PLASTIC CLEAR 30CM,1.0,
3,RECOMMENDED STATIONERY - STANDARD PACK,GLUE STICK SCHOOL UHU 40G,1.0,
4,RECOMMENDED STATIONERY - STANDARD PACK,HIGHLIGHTER YELLOW,1.0,
5,RECOMMENDED STATIONERY - STANDARD PACK,USB THUMBDRIVE EDUDRIVE 8GB OR EXTERNAL HARD DRIVE,1.0,
6,CREATIVE ARTS,SKETCH BK A4 110GSM 20 LF,1.0,
7,CREATIVE ARTS,PENCIL STANDARD HB,1.0,
8,CREATIVE ARTS,DISPLAY BK A4 20 INSERTS,1.0,
9,CREATIVE ARTS,PEN STAEDTLER LUMOCOLOR PERMANENT FINE BLACK,1.0,
10,CREATIVE ARTS,8GB USB,1.0,
11,DESIGN & TECHNOLOGY,DOCUMENT WALLET,1.0,
12,MEDIA STUDIES,8GB USB,1.0,
13,MEDIA STUDIES,4GB SD CARD CLASS 6,1.0,
14,MUSIC/ MUSIC IB,MUSIC MANUSCRIPT PAD A4 50LF,1.0,
15,MUSIC/ MUSIC IB,DISPLAY BK A4 20 INSERTS,1.0,
16,MUSIC/ MUSIC IB,BINDER A4 3D 25MM,1.0,
17,VISUAL ARTS,DISPLAY BK A4 20 INSERTS,1.0,
18,VISUAL ARTS,PENCIL 2B,1.0,
19,VISUAL ARTS,ERASER PENCIL LARGE VINYL 7085-20,1.0,
20,VISUAL ARTS,PEN ARTLINE 200 0.4MM BLACK,1.0,
21,VISUAL ARTS,VISUAL DIARY A3 60 LEAF 110GSM,1.0,
22,DRAMA/ DRAMA IB,DISPLAY BK A4 20 INSERTS - ASSORTED,1.0,
23,TECHNICAL THEATRE,DISPLAY BK A4 20 INSERTS - ASSORTED,1.0,
24,ENGLISH,BINDER A4 3D 25MM INSERT ASSORTED,1.0,
25,English as an Additional Language (EAL),TEXT TYPES A WRITING GUIDE FOR STUDENTS [TOWNSEND],1.0,
26,English as an Additional Language (EAL),WRITING PAD A4 8MM RULED 100 PAGE PUNCHED 7 HOLES,1.0,
27,English as an Additional Language (EAL),DISPLAY BK A4 20 INSERTS - ASSORTED,1.0,
28,CHINESE,CONCISE ENGLISH-CHINESE CHINESE-ENGLISH DICTIONARY,1.0,
29,CHINESE,BINDER A4 3D 25MM,1.0,
30,CHINESE,GRAPH BK A4 48 PAGE 10MM GRID,2.0,
31,FRENCH,COLLINS POCKET FRENCH DICTIONARY 2ND edition.,1.0,
32,GERMAN - SACE & IB,COLLINS GERMAN DICTIONARY AND GRAMMAR 6TH edition.,1.0,
33,GERMAN - SACE & IB,DOCUMENT WALLET CARDBOARD,1.0,
34,JAPANESE,DISPLAY BK A4 20 INSERTS,1.0,
35,MATHEMATICS,GRAPH PAD A4 50 LEAF 5MM GRID ,1.0,
36,MATHEMATICS,GRAPH BK A4 96 PAGE 5MM GRID,1.0,
37,MATHEMATICS,COMPASS/GEOLINER 1,1.0,
38,MATHEMATICS,CALCULATOR GRAPHIC CASIO CASIO -FX-CG20AU-LB ,1.0,** EXCEPT FOR STUDENTS ONLY STUDYING 1 SEMESTER OF MATHS
39,MATHEMATICS IB,GRAPH PAD A4 50 LEAF 5MM GRID,,
40,MATHEMATICS IB,GRAPH BK A4 96 PAGE 5MM GRID,1.0,
41,MATHEMATICS IB,GEOLINER GRIP HANDLE 16CM,1.0,
42,MATHEMATICS IB,COMPASS CELCO CO5 METAL,1.0,
43,MATHEMATICS IB,CALCULATOR GRAPHIC CASIO FX-CG20AU-LB,1.0,
44,BIOLOGY/ BIOLOGY IB,EXERCISE BK A4 SPIRAX 96 PAGE 8MM ,1.0,
45,CHEMISTRY,EXERCISE BK A4 SPIRAX 96 PAGE 8MM ,2.0,
46,CHEMISTRY IB,EXERCISE BK A4 SPIRAX 96 PAGE 8MM,1.0,
47,CHEMISTRY IB,DISPLAY BK A4 20 INSERTS,1.0,
48,PHYSICS,GRAPH PAD A4 50 LEAF 5MM GRID,1.0,
49,PHYSICS,EXERCISE BK A4 128 PAGE 8MM,1.0,
50,PHYSICS IB,GRAPH PAD A4 2MM 25 LEAF,1.0,
51,PHYSICS IB,EXERCISE BK A4 128 PAGE 8MM,1.0,
52,PHYSICS IB,DISPLAY BK A4 20 INSERTS,1.0,
53,GEOGRAPHY/GEOGRAPHY IB,WRITING PAD A4 8MM RULED 100 PAGE PUNCHED 7 HOLES,1.0,
54,MODERN HISTORY,WRITING PAD A4 8MM RULED 100 PAGE PUNCHED 7 HOLES,1.0,
55,HEALTH,DISPLAY BK A4 20 INSERTS,2.0,
56,HOME ECONOMICS,DISPLAY BK A4 20 INSERTS - ASSORTED,1.0,
57,PHYSICAL EDUCATION,DISPLAY BK A4 20 INSERTS - ASSORTED,1.0,
58,ECONOMICS IB,WRITING PAD A4 8MM RULED 100 PAGE PUNCHED 7 HOLES,1.0,
59,ISEC,TEXT TYPES A WRITING GUIDE FOR STUDENTS [TOWNSEND],1.0,
